ticker,tradedate,orhv10d,orhv20d,orhv60d,orhv120d,orhv252d
IGV,2020-04-14,45.86,71.57,55.15,40.24,31.64
IGV,2020-04-13,48.17,76.62,55.1,40.32,31.62
IGV,2020-04-09,55.01,81.06,55.02,40.27,31.59
IGV,2020-04-08,55.98,81.77,54.73,40.13,31.46
IGV,2020-04-07,59.41,82.54,54.42,39.92,31.34
IGV,2020-04-06,55.37,83.15,53.35,39.19,30.9
IGV,2020-04-03,58.39,83.63,53.24,39.13,30.93
IGV,2020-04-02,62.68,83.78,53.1,39.03,30.87
IGV,2020-04-01,68.96,83.4,52.65,38.69,30.66
IGV,2020-03-31,76.75,84.38,52.45,38.62,30.59
IGV,2020-03-30,90.24,84.76,52.23,38.43,30.48
IGV,2020-03-27,97.06,84.48,51.82,38.2,30.33
IGV,2020-03-26,100.57,83.1,50.63,37.48,29.88
FXI,2020-04-20,21.98,34.88,36.73,27.61,21.76
FXI,2020-04-17,24.58,35.83,36.69,27.56,21.73
FXI,2020-04-16,28.68,38.79,37.15,27.55,21.74
FXI,2020-04-15,28.15,42.03,37.04,27.48,21.71
FXI,2020-04-14,30.42,49.52,36.97,27.45,21.69
FXI,2020-04-13,35.5,52.3,36.91,27.43,21.68
FXI,2020-04-09,37.84,55.37,36.86,27.38,21.66
FXI,2020-04-08,39.03,55.88,36.91,27.36,21.64
FXI,2020-04-07,43.2,56.32,36.72,27.25,21.56
FXI,2020-04-06,42.54,56.72,36.44,27.05,21.45
FXI,2020-04-03,44.16,56.75,36.37,27.03,21.42
FXI,2020-04-02,44.31,56.14,36.01,26.82,21.29
FXI,2020-04-01,46.76,55.19,35.49,26.5,21.09
FXI,2020-03-31,52.35,55.35,35.55,26.48,21.09
FXI,2020-03-30,63.08,54.71,35.35,26.23,20.94
FXI,2020-03-27,64.88,53.52,34.49,25.66,20.6
FXI,2020-03-26,68.55,52.74,34.03,25.37,20.41
FEZ,2020-04-20,33.88,45.46,48.75,34.87,25.54
FEZ,2020-04-17,33.59,46.24,48.53,34.71,25.45
FEZ,2020-04-16,37.73,51.32,48.52,34.7,25.43
FEZ,2020-04-15,35.67,53.09,48.17,34.46,25.27
FEZ,2020-04-14,36.11,61.46,48.05,34.38,25.22
FEZ,2020-04-13,39.04,65.05,47.97,34.32,25.18
FEZ,2020-04-09,41.52,72.09,47.81,34.22,25.12
FEZ,2020-04-08,46.52,73.53,47.73,34.16,25.08
FEZ,2020-04-07,54.3,74.13,47.58,34.09,25.01
FEZ,2020-04-06,51.98,76.4,46.91,33.63,24.71
FEZ,2020-04-03,54.65,76.43,46.83,33.61,24.66
FEZ,2020-04-02,56.11,76.52,46.64,33.49,24.58
FEZ,2020-04-01,62.01,76.07,46.08,33.12,24.33
FEZ,2020-03-31,66.06,76.43,46.01,33.07,24.3
FEZ,2020-03-30,79.06,76.5,45.85,32.95,24.22
FEZ,2020-03-27,83.3,75.88,45.38,32.62,24.0
FEZ,2020-03-26,93.12,75.41,44.86,32.27,23.77
EZA,2020-04-20,52.09,59.82,64.22,47.08,35.68
EZA,2020-04-17,52.25,60.52,64.12,47.02,35.63
EZA,2020-04-16,53.65,71.48,64.08,46.97,35.6
EZA,2020-04-15,52.45,72.63,63.74,46.74,35.45
EZA,2020-04-14,51.78,80.76,63.51,46.59,35.35
EZA,2020-04-13,58.49,85.36,63.35,46.48,35.29
EZA,2020-04-09,59.87,94.42,63.12,46.33,35.22
EZA,2020-04-08,66.87,95.66,63.07,46.29,35.2
EZA,2020-04-07,71.66,96.73,62.7,46.03,35.03
EZA,2020-04-06,67.95,98.89,61.57,45.25,34.54
EZA,2020-04-03,66.67,97.68,60.92,44.86,34.24
EZA,2020-04-02,67.79,97.92,60.77,44.81,34.2
EZA,2020-04-01,85.67,97.54,60.47,44.61,34.08
EZA,2020-03-31,88.3,97.87,60.41,44.5,34.08
EZA,2020-03-30,101.8,98.34,60.27,44.4,34.04
EZA,2020-03-27,105.6,96.68,59.05,43.61,33.54
EZA,2020-03-26,119.36,96.96,58.59,43.32,33.35
EWZ,2020-04-20,56.98,71.84,88.01,63.51,47.39
EWZ,2020-04-17,57.84,78.04,87.91,63.44,47.4
EWZ,2020-04-16,59.1,90.07,87.87,63.39,47.37
EWZ,2020-04-15,60.16,96.17,87.8,63.38,47.33
EWZ,2020-04-14,59.84,114.92,87.69,63.31,47.34
EWZ,2020-04-13,66.78,123.96,87.56,63.18,47.29
EWZ,2020-04-09,68.32,132.53,87.38,63.08,47.21
EWZ,2020-04-08,76.28,136.6,86.91,62.8,47.02
EWZ,2020-04-07,82.23,137.99,86.55,62.52,46.84
EWZ,2020-04-06,83.23,141.69,85.88,62.05,46.56
EWZ,2020-04-03,84.11,140.99,85.26,61.67,46.33
EWZ,2020-04-02,93.99,141.5,85.05,61.53,46.27
EWZ,2020-04-01,112.84,141.14,84.82,61.38,46.17
EWZ,2020-03-31,121.98,141.29,84.59,61.24,46.09
EWZ,2020-03-30,151.11,141.39,84.55,61.28,46.06
EWZ,2020-03-27,162.09,139.88,83.48,60.58,45.71
EWZ,2020-03-26,174.53,139.78,83.09,60.34,45.71
EWY,2020-04-20,33.16,49.6,49.62,36.39,27.23
EWY,2020-04-17,34.96,50.08,49.44,36.23,27.12
EWY,2020-04-16,41.3,55.31,49.47,36.2,27.11
EWY,2020-04-15,40.53,57.8,49.29,36.08,27.03
EWY,2020-04-14,40.69,69.74,49.2,36.03,26.99
EWY,2020-04-13,44.58,71.83,49.13,35.99,26.95
EWY,2020-04-09,47.29,76.22,49.05,35.93,26.92
EWY,2020-04-08,50.99,77.01,49.07,35.88,26.88
EWY,2020-04-07,61.8,77.58,48.98,35.83,26.84
